Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you Facebook user?,From which country do you participate in the survey?,,What is your age?,What is your gender?,What is your education level?,Please select your Facebook usage type:,How often do you use Facebook?,Do you know/aware of the privacy policy rules of Facebook?,Have you configured the privacy setting of your profile?,"Do you know that you can control the visibility of your posts with some privacy settings? (restricting the visibility of your post to only all/some of your friends, friends and friends of friends, or public)?",What is your general preference for the visibility of your posts?,"Suppose that you have commented on a post that was created by your best friend and that this post is only shared by your best friends' friends. You trust that your friend will not make your comment visible to others than the selected group of people. However, after few days your best friend changes the privacy setting of this post to public. As a result of Facebook Privacy Policy (stating that privacy of interactions on a post only depends on the privacy setting of that particular post, controlled tuned only by the post owner), your comment became visible to public, without getting your approval. What is your opinion about this policy?","Suppose that you see a public post in Facebook, and comment on it, by being aware that your comment will be visible to everyone. After a while, suppose that the post owner changed the visibility of that post to friends only, and you're not among his/her list of friends on Facebook. As a result of the Facebook Privacy Policy as described previously, you cannot see the post. You cannot even have access to your own comment or see it in your own action logs. What is your opinion about this policy?",Were you aware of above described privacy related issues?,Do you think that our solution is clearly understood through the mockup?,Do you think that this solution is useful to improve the privacy awareness of Facebook members?,"Do you think that this solution can be implemented in real world? If so, by whom?",Do you think that this problem should be solved by Facebook through policy regulations and service refinements?,"Do you have any other comments, questions, or concerns?"
10472397756,223929250,01/17/2019 11:27:46 AM,01/17/2019 11:38:36 AM,5.144.196.188,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Probably agree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472395567,223929250,01/17/2019 11:30:21 AM,01/17/2019 11:36:48 AM,195.251.79.187,,,,,Yes,Greece,,35-44,Female,Postgraduate degree,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472390878,223929250,01/17/2019 11:28:27 AM,01/17/2019 11:32:41 AM,46.246.188.225,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472387184,223929250,01/17/2019 11:26:53 AM,01/17/2019 11:29:25 AM,83.212.65.131,,,,,Yes,Greece,,35-44,Female,Postgraduate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,Yes,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472383267,223929250,01/17/2019 11:20:46 AM,01/17/2019 11:25:58 AM,37.6.2.234,,,,,Yes,Greece,,25-34,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472382758,223929250,01/17/2019 11:22:22 AM,01/17/2019 11:25:31 AM,77.49.105.135,,,,,Yes,Greece,,15-24,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Neutral,Probably disagree,No,No,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472379993,223929250,01/17/2019 11:20:14 AM,01/17/2019 11:23:11 AM,79.166.7.104,,,,,Yes,Greece,,45-54,Female,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,No,Public,Strongly agree,Strongly agree,No,,,,"Yes, certainly this is more practical and faster solution",
10472378614,223929250,01/17/2019 11:16:34 AM,01/17/2019 11:22:02 AM,46.177.175.76,,,,,Yes,Greece,,15-24,Female,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472377137,223929250,01/17/2019 11:16:07 AM,01/17/2019 11:20:48 AM,85.74.142.245,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,Yes,Yes,Yes,,,
10472374400,223929250,01/17/2019 11:08:24 AM,01/17/2019 11:18:33 AM,185.156.63.4,,,,,Yes,Greece,,35-44,Female,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only with selected friend(s),Strongly disagree,Strongly disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472373997,223929250,01/17/2019 11:11:14 AM,01/17/2019 11:18:12 AM,195.200.169.210,,,,,Yes,Greece,,55+,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472373948,223929250,01/17/2019 11:09:59 AM,01/17/2019 11:18:10 AM,5.144.211.175,,,,,Yes,Greece,,15-24,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Only my friends,Probably agree,Strongly disagree,Yes,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472365547,223929250,01/17/2019 11:04:23 AM,01/17/2019 11:11:17 AM,176.58.195.237,,,,,Yes,Greece,,35-44,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,Yes,Yes,Only my friends,Probably agree,Probably agree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472360633,223929250,01/17/2019 11:00:38 AM,01/17/2019 11:07:06 AM,176.58.225.238,,,,,Yes,Greece,,15-24,Female,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",I am following continuously,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution","No, I think the mocked up scenario was good, and will improve things in the Facebook policy and privacy "
10472360540,223929250,01/17/2019 11:03:46 AM,01/17/2019 11:07:02 AM,79.167.150.149,,,,,Yes,Greece,,15-24,Female,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,No,Yes,Yes,Public,Neutral,Probably disagree,No,,,,"Yes, certainly this is more practical and faster solution",
10472355961,223929250,01/17/2019 10:58:55 AM,01/17/2019 11:03:01 AM,62.74.9.226,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472351790,223929250,01/17/2019 10:51:15 AM,01/17/2019 10:59:17 AM,2.86.49.42,,,,,Yes,Greece,,15-24,Female,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,No,Yes,Public,Probably disagree,Strongly disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472351608,223929250,01/17/2019 10:56:21 AM,01/17/2019 10:59:06 AM,158.64.79.14,,,,,Yes,Greece,,35-44,Female,Doctorate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,No,Yes,Yes,Only my friends,Neutral,Neutral,Yes,No,No,by any trustable third party,"Yes, certainly this is more practical and faster solution",no
10472351059,223929250,01/17/2019 10:51:36 AM,01/17/2019 10:58:32 AM,178.59.153.68,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,No,Yes,Only my friends,Neutral,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472349949,223929250,01/17/2019 10:50:49 AM,01/17/2019 10:57:29 AM,91.140.7.240,,,,,Yes,Greece,,35-44,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,,,,,
10472346895,223929250,01/17/2019 10:53:34 AM,01/17/2019 10:54:38 AM,195.130.96.86,,,,,No,,,,,,,,,,,,,,,,,,,
10472343973,223929250,01/17/2019 10:47:26 AM,01/17/2019 10:51:53 AM,91.140.5.21,,,,,Yes,Greece,,25-34,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,No,Yes,Only my friends,Neutral,Strongly disagree,Yes,No,,by any trustable third party,"No, this would be too complicated",No
10472343651,223929250,01/17/2019 10:45:52 AM,01/17/2019 10:51:34 AM,195.251.32.51,,,,,Yes,Greece,,25-34,Female,Postgraduate degree,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472342446,223929250,01/17/2019 10:39:43 AM,01/17/2019 10:50:25 AM,188.4.162.223,,,,,Yes,Greece,,35-44,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472341928,223929250,01/17/2019 10:45:05 AM,01/17/2019 10:49:57 AM,5.144.211.98,,,,,Yes,Greece,,35-44,Female,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",Regularly I check it weekly,Yes,Yes,Yes,Only with selected friend(s),Neutral,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472340208,223929250,01/17/2019 10:43:09 AM,01/17/2019 10:48:22 AM,5.144.219.96,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,No,No,Yes,Public,Probably agree,Probably agree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472338053,223929250,01/17/2019 10:43:49 AM,01/17/2019 10:46:17 AM,94.66.220.76,,,,,Yes,Greece,,15-24,Male,University graduate,I generally write comments to posts in my News Feed,Regularly I check it weekly,Yes,No,Yes,Public,Probably agree,Probably agree,Yes,No,Yes,by any trustable third party,"No, this would be too complicated",
10472335656,223929250,01/17/2019 10:34:38 AM,01/17/2019 10:44:02 AM,185.233.183.245,,,,,Yes,Turkey,,55+,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472334615,223929250,01/17/2019 10:40:22 AM,01/17/2019 10:43:05 AM,195.130.109.48,,,,,No,Greece,,45-54,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only with selected friend(s),Strongly agree,,,,,,,
10472332131,223929250,01/17/2019 10:37:08 AM,01/17/2019 10:40:44 AM,2.84.6.177,,,,,Yes,Greece,,15-24,Female,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Only my friends,Probably disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",No
10472327866,223929250,01/17/2019 10:32:37 AM,01/17/2019 10:36:47 AM,94.71.34.142,,,,,Yes,Greece,,15-24,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably agree,Probably agree,No,Yes,No,by Facebook,"Yes, certainly this is more practical and faster solution",
10472325533,223929250,01/17/2019 10:30:40 AM,01/17/2019 10:34:32 AM,5.144.223.243,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,Yes,Yes,Yes,Default Setting,Neutral,Neutral,Yes,Yes,Yes,by Facebook,"No, this would be too complicated",
10472324557,223929250,01/17/2019 10:31:22 AM,01/17/2019 10:33:36 AM,94.66.222.53,,,,,Yes,Greece,,25-34,Female,High School,I mostly prefer to like posts in my News Feed,I am following continuously,No,No,Yes,Only with selected friend(s),Neutral,Neutral,No,Yes,No,by Facebook,"Yes, certainly this is more practical and faster solution",
10472320776,223929250,01/17/2019 10:22:22 AM,01/17/2019 10:30:02 AM,213.249.11.34,,,,,Yes,Greece,,,Female,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,Yes,No,Yes,,"Yes, certainly this is more practical and faster solution",
10472317432,223929250,01/17/2019 10:22:10 AM,01/17/2019 10:26:55 AM,94.64.248.190,,,,,Yes,Greece,,25-34,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,No,No,Yes,Only my friends,Neutral,Strongly disagree,Yes,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472311891,223929250,01/17/2019 10:16:16 AM,01/17/2019 10:21:47 AM,62.169.196.210,,,,,Yes,Greece,,35-44,Male,High School,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10472310448,223929250,01/17/2019 10:15:19 AM,01/17/2019 10:20:30 AM,79.167.157.73,,,,,Yes,Greece,,15-24,Female,University graduate,I mostly prefer to like posts in my News Feed,I am following continuously,Yes,Yes,Yes,Only my friends,Strongly agree,Probably disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472310443,223929250,01/17/2019 10:20:07 AM,01/17/2019 10:20:30 AM,195.130.99.159,,,,,No,,,,,,,,,,,,,,,,,,,
10472304830,223929250,01/17/2019 10:07:33 AM,01/17/2019 10:15:38 AM,2.86.117.28,,,,,Yes,Greece,,35-44,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472301445,223929250,01/17/2019 10:07:40 AM,01/17/2019 10:12:43 AM,195.251.76.213,,,,,Yes,Greece,,35-44,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,No,Yes,Only with selected friend(s),Probably agree,,Yes,Yes,Yes,by Facebook,"No, this would be too complicated",
10472300669,223929250,01/17/2019 10:09:18 AM,01/17/2019 10:12:04 AM,2.86.80.5,,,,,Yes,Greece,,15-24,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,Yes,Yes,Only my friends,Neutral,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472298461,223929250,01/17/2019 10:07:14 AM,01/17/2019 10:10:04 AM,94.71.109.109,,,,,Yes,Greece,,15-24,Male,High School,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472294255,223929250,01/17/2019 10:00:58 AM,01/17/2019 10:06:13 AM,91.140.88.105,,,,,Yes,Greece,,55+,Male,University graduate,,I am following continuously,Yes,Yes,,,,,,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472291707,223929250,01/17/2019 09:56:17 AM,01/17/2019 10:03:45 AM,77.49.223.131,,,,,No,,,,,,,,,,,,,,,,,,,
10472289540,223929250,01/17/2019 09:55:03 AM,01/17/2019 10:01:37 AM,195.251.66.55,,,,,Yes,Greece,,35-44,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472288127,223929250,01/17/2019 09:54:26 AM,01/17/2019 10:00:10 AM,195.251.78.169,,,,,Yes,Greece,,35-44,Female,Postgraduate degree,I mostly prefer to like posts in my News Feed,For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472287889,223929250,01/17/2019 09:55:38 AM,01/17/2019 09:59:53 AM,62.74.10.227,,,,,Yes,Greece,,35-44,Female,Doctorate degree,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,No,No,by Facebook,"Yes, certainly this is more practical and faster solution",
10472285644,223929250,01/17/2019 09:47:47 AM,01/17/2019 09:57:24 AM,94.65.5.95,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly agree,Neutral,Yes,Yes,No,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",No
10472285543,223929250,01/17/2019 09:54:50 AM,01/17/2019 09:57:17 AM,46.177.81.88,,,,,Yes,Greece,,15-24,Female,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,No,Yes,Yes,Only my friends,Neutral,Neutral,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472284782,223929250,01/17/2019 09:52:49 AM,01/17/2019 09:56:28 AM,213.249.11.34,,,,,Yes,Greece,,15-24,Female,University graduate,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,Yes,No,Yes,"no, it’s inapplicable","No, this would be too complicated",
10472284363,223929250,01/17/2019 09:49:55 AM,01/17/2019 09:55:59 AM,5.144.216.95,,,,,Yes,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,,Yes,No,by Facebook,"Yes, certainly this is more practical and faster solution",
10472283225,223929250,01/17/2019 09:49:46 AM,01/17/2019 09:54:44 AM,5.144.216.179,,,,,Yes,Greece,,25-34,Female,Postgraduate degree,I mostly prefer to like posts in my News Feed,For few hours on each day,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",No
10472281434,223929250,01/17/2019 09:44:41 AM,01/17/2019 09:52:55 AM,195.251.78.71,,,,,Yes,Greece,,35-44,Female,Postgraduate degree,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472281176,223929250,01/17/2019 09:49:22 AM,01/17/2019 09:52:38 AM,195.251.80.175,,,,,Yes,Greece,,15-24,Female,High School,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Strongly disagree,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution","No, I'm good. "
10472278150,223929250,01/17/2019 09:46:40 AM,01/17/2019 09:49:26 AM,195.130.96.90,,,,,Yes,Greece,,25-34,Male,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Neutral,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472271828,223929250,01/17/2019 09:36:00 AM,01/17/2019 09:42:41 AM,37.153.161.124,,,,,Yes,Greece,,25-34,Female,University graduate,I generally write comments to posts in my News Feed,I am following continuously,No,Yes,Yes,Only my friends,Strongly agree,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472271257,223929250,01/17/2019 09:23:22 AM,01/17/2019 09:42:05 AM,91.140.90.218,,,,,Yes,Greece,,15-24,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472269596,223929250,01/17/2019 09:34:51 AM,01/17/2019 09:40:21 AM,2.84.118.48,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Neutral,Neutral,Yes,No,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution","If someone really wants privacy, i suggest being careful on what they upload, who they trust and what they like and comment. Also, apart from facebook, a good idea for anonymity when browsing would be changing the DNS server and/or using a VPN connection."
10472266351,223929250,01/17/2019 09:33:48 AM,01/17/2019 09:36:48 AM,141.237.159.118,,,,,Yes,Greece,,25-34,Male,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,Yes,Yes,Yes,by any trustable third party,"No, this would be too complicated",
10472264884,223929250,01/17/2019 09:32:55 AM,01/17/2019 09:35:15 AM,91.140.89.86,,,,,Yes,Greece,,25-34,Male,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,No,Yes,Yes,Only my friends,Neutral,Neutral,Yes,No,No,"no, it’s inapplicable","No, this would be too complicated",
10472264641,223929250,01/17/2019 09:30:32 AM,01/17/2019 09:34:58 AM,5.144.221.188,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,No,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472261387,223929250,01/17/2019 09:21:03 AM,01/17/2019 09:31:30 AM,195.130.96.84,,,,,Yes,Greece,,25-34,Female,Doctorate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472261124,223929250,01/17/2019 09:23:42 AM,01/17/2019 09:31:14 AM,141.255.61.59,,,,,Yes,Greece,,55+,Male,Doctorate degree,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472261113,223929250,01/17/2019 09:23:51 AM,01/17/2019 09:31:13 AM,195.251.78.4,,,,,Yes,Greece,,35-44,Female,Postgraduate degree,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,Yes,Yes,Yes,Only my friends,Strongly agree,Strongly agree,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472260498,223929250,01/17/2019 08:44:48 AM,01/17/2019 09:30:34 AM,5.144.222.128,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,For few hours on each day,No,No,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472253529,223929250,01/17/2019 09:20:40 AM,01/17/2019 09:23:13 AM,195.130.100.15,,,,,Yes,Greece,,35-44,Male,University graduate,"I like to have interactions (like, comment, share, etc.) with posts in my News Feed",For few hours on each day,No,Yes,Yes,Only my friends,Neutral,Neutral,Yes,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472252654,223929250,01/17/2019 09:08:22 AM,01/17/2019 09:22:16 AM,94.64.71.45,,,,,Yes,Greece,,15-24,Female,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Neutral,Probably disagree,No,Yes,Yes,by any trustable third party,"No, this would be too complicated",
10472252094,223929250,01/17/2019 09:20:28 AM,01/17/2019 09:21:40 AM,62.74.5.242,,,,,Yes,Greece,,15-24,Male,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",I am following continuously,No,Yes,Yes,Only my friends,Probably agree,Probably agree,Yes,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10472250457,223929250,01/17/2019 09:13:40 AM,01/17/2019 09:19:57 AM,82.145.223.97,,,,,No,Greece,,15-24,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,Yes,Yes,Yes,by Facebook,"No, this would be too complicated",
10472248158,223929250,01/17/2019 09:13:17 AM,01/17/2019 09:17:35 AM,5.55.239.234,,,,,Yes,Greece,,15-24,Male,University graduate,I mostly prefer to like posts in my News Feed,When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Friends of Friends,Probably disagree,Strongly disagree,Yes,No,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472246340,223929250,01/17/2019 09:07:38 AM,01/17/2019 09:15:42 AM,195.251.79.29,,,,,Yes,Greece,,45-54,Male,Postgraduate degree,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,Yes,Yes,Yes,Only my friends,Probably agree,Strongly agree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
10472241460,223929250,01/17/2019 09:06:01 AM,01/17/2019 09:10:46 AM,94.69.228.93,,,,,Yes,Greece,,15-24,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",When Facebook send an alert then I check my received posts,Yes,Yes,Yes,Only my friends,Probably agree,Probably disagree,Yes,Yes,Yes,"no, it’s inapplicable","Yes, certainly this is more practical and faster solution",
10472230526,223929250,01/17/2019 08:45:45 AM,01/17/2019 08:59:39 AM,85.74.180.213,,,,,Yes,Greece,,45-54,Male,Doctorate degree,I mostly prefer to like posts in my News Feed,Regularly I check it weekly,No,Yes,Yes,Only my friends,Strongly disagree,Strongly disagree,No,Yes,Yes,"no, it’s inapplicable","No, this would be too complicated","The idea is certainly in the right direction but it is still somewhat complicated. Perhaps an even more straightforward indication of privacy settings (eg a color code right next to the post) instead of all the ‘privacy disclaimer’ type of statements would work better. All in all, I’d prefer less steps to make a decision."
10472227749,223929250,01/17/2019 08:55:08 AM,01/17/2019 08:56:37 AM,176.58.193.203,,,,,Yes,Greece,,15-24,Male,High School,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",Regularly I check it weekly,Yes,Yes,Yes,Public,Neutral,Neutral,Yes,Yes,Yes,by any trustable third party,"Yes, certainly this is more practical and faster solution",
10472226180,223929250,01/17/2019 08:49:15 AM,01/17/2019 08:55:00 AM,195.251.81.84,,,,,No,Greece,,15-24,Female,University graduate,"I mostly prefer to only check new posts (not interact in the form of likes, comments, etc.)",For few hours on each day,No,Yes,Yes,Only my friends,Strongly disagree,Probably disagree,No,Yes,Yes,by Facebook,"Yes, certainly this is more practical and faster solution",
